manifesto_id,party,date,mean_score,n_sentences
31320_198106,31320,198106,1.0,236
51320_196410,51320,196410,1.0,399
51420_196410,51420,196410,1.0,216
51620_196410,51620,196410,1.0,412
51320_196603,51320,196603,1.0,513
51420_196603,51420,196603,1.0,308
51620_196603,51620,196603,1.0,273
51320_197006,51320,197006,1.0,524
51420_197006,51420,197006,1.0,181
51620_197006,51620,197006,1.0,540
51320_197402,51320,197402,1.0,182
51420_197402,51420,197402,1.0,353
51620_197402,51620,197402,1.0,568
51320_197410,51320,197410,1.0,364
51420_197410,51420,197410,1.0,262
51620_197410,51620,197410,1.0,663
51320_197905,51320,197905,1.0,472
51420_197905,51420,197905,1.0,335
51620_197905,51620,197905,1.0,422
51320_198306,51320,198306,1.0,1134
51330_198306,51330,198306,1.0,509
51420_198306,51420,198306,1.0,509
51620_198306,51620,198306,1.0,610
51320_198706,51320,198706,1.0,451
51330_198706,51330,198706,1.0,673
51420_198706,51420,198706,1.0,673
51620_198706,51620,198706,1.0,913
51320_199204,51320,199204,1.0,652
51421_199204,51421,199204,1.0,871
51620_199204,51620,199204,1.0,1582
51320_199705,51320,199705,1.0,904
51421_199705,51421,199705,1.0,824
51620_199705,51620,199705,1.0,1160
51902_199705,51902,199705,1.0,549
51320_200106,51320,200106,1.0,1572
51421_200106,51421,200106,1.0,1117
51620_200106,51620,200106,1.0,680
51902_200106,51902,200106,1.0,437
51951_200106,51951,200106,1.0,614
51320_200505,51320,200505,1.0,1098
51421_200505,51421,200505,1.0,775
51620_200505,51620,200505,1.0,408
51110_201505,51110,201505,1.0,1849
51210_201505,51210,201505,1.0,274
51320_201505,51320,201505,1.0,857
51340_201505,51340,201505,1.0,385
51421_201505,51421,201505,1.0,1327
51620_201505,51620,201505,1.0,1133
51621_201505,51621,201505,1.0,271
51901_201505,51901,201505,1.0,729
51902_201505,51902,201505,1.0,673
51903_201505,51903,201505,1.0,104
51951_201505,51951,201505,1.0,1019
51110_201706,51110,201706,1.0,142
51210_201706,51210,201706,1.0,124
51320_201706,51320,201706,1.0,1072
51421_201706,51421,201706,1.0,850
51620_201706,51620,201706,1.0,1182
51901_201706,51901,201706,1.0,289
51902_201706,51902,201706,1.0,841
51903_201706,51903,201706,1.0,273
51951_201706,51951,201706,1.0,991
51110_201912,51110,201912,1.0,976
51210_201912,51210,201912,1.0,109
51320_201912,51320,201912,1.0,1121
51340_201912,51340,201912,1.0,362
51421_201912,51421,201912,1.0,1049
51430_201912,51430,201912,1.0,499
51620_201912,51620,201912,1.0,887
51901_201912,51901,201912,1.0,760
51902_201912,51902,201912,1.0,784
51903_201912,51903,201912,1.0,425
51110_202407,51110,202407,1.0,881
51210_202407,51210,202407,1.0,84
51320_202407,51320,202407,1.0,1258
51340_202407,51340,202407,1.0,359
51421_202407,51421,202407,1.0,990
51430_202407,51430,202407,1.0,675
51620_202407,51620,202407,1.0,1142
51621_202407,51621,202407,1.0,380
51701_202407,51701,202407,1.0,372
51901_202407,51901,202407,1.0,675
51902_202407,51902,202407,1.0,328
51903_202407,51903,202407,1.0,468
51904_202407,51904,202407,1.0,344
53320_196110,53320,196110,1.0,154
53520_196110,53520,196110,1.0,113
53320_196504,53320,196504,1.0,145
53520_196504,53520,196504,1.0,417
53620_196504,53620,196504,1.0,87
53320_196906,53320,196906,1.0,436
53520_196906,53520,196906,1.0,413
53620_196906,53620,196906,1.0,25
