manifesto_id,party,date,mean_score
31320_198106,31320,198106,0.2223
51320_196410,51320,196410,0.0779
51420_196410,51420,196410,0.1014
51620_196410,51620,196410,0.1304
51320_196603,51320,196603,0.1023
51420_196603,51420,196603,0.1328
51620_196603,51620,196603,0.0981
51320_197006,51320,197006,0.1143
51420_197006,51420,197006,0.0797
51620_197006,51620,197006,0.1495
51320_197402,51320,197402,0.0964
51420_197402,51420,197402,0.0227
51620_197402,51620,197402,0.0747
51320_197410,51320,197410,0.1254
51420_197410,51420,197410,0.0401
51620_197410,51620,197410,0.0519
51320_197905,51320,197905,0.1624
51420_197905,51420,197905,0.1017
51620_197905,51620,197905,0.1099
51320_198306,51320,198306,0.1528
51330_198306,51330,198306,0.0977
51420_198306,51420,198306,0.0977
51620_198306,51620,198306,0.1602
51320_198706,51320,198706,0.1889
51330_198706,51330,198706,0.0651
51420_198706,51420,198706,0.0651
51620_198706,51620,198706,0.1367
51320_199204,51320,199204,0.1767
51421_199204,51421,199204,0.1339
51620_199204,51620,199204,0.1663
51320_199705,51320,199705,0.162
51421_199705,51421,199705,0.176
51620_199705,51620,199705,0.1592
51902_199705,51902,199705,0.1584
51320_200106,51320,200106,0.1829
51421_200106,51421,200106,0.108
51620_200106,51620,200106,0.1442
51902_200106,51902,200106,0.1206
51951_200106,51951,200106,0.1414
51320_200505,51320,200505,0.1365
51421_200505,51421,200505,0.0841
51620_200505,51620,200505,0.1307
51110_201505,51110,201505,0.0971
51210_201505,51210,201505,0.1048
51320_201505,51320,201505,0.1597
51340_201505,51340,201505,0.1277
51421_201505,51421,201505,0.0566
51620_201505,51620,201505,0.1102
51621_201505,51621,201505,0.0733
51901_201505,51901,201505,0.099
51902_201505,51902,201505,0.0941
51903_201505,51903,201505,0.196
51951_201505,51951,201505,0.0789
51110_201706,51110,201706,0.0825
51210_201706,51210,201706,0.0692
51320_201706,51320,201706,0.1294
51421_201706,51421,201706,0.1044
51620_201706,51620,201706,0.1371
51901_201706,51901,201706,0.1393
51902_201706,51902,201706,0.1042
51903_201706,51903,201706,0.1806
51951_201706,51951,201706,0.0941
51110_201912,51110,201912,0.0368
51210_201912,51210,201912,0.0729
51320_201912,51320,201912,0.1269
51340_201912,51340,201912,0.1263
51421_201912,51421,201912,0.1023
51430_201912,51430,201912,0.1758
51620_201912,51620,201912,0.1544
51901_201912,51901,201912,0.0613
51902_201912,51902,201912,0.1011
51903_201912,51903,201912,0.1738
51110_202407,51110,202407,0.0682
51210_202407,51210,202407,0.1196
51320_202407,51320,202407,0.1065
51340_202407,51340,202407,0.1287
51421_202407,51421,202407,0.1153
51430_202407,51430,202407,0.1446
51620_202407,51620,202407,0.1159
51621_202407,51621,202407,0.1654
51701_202407,51701,202407,0.1484
51901_202407,51901,202407,0.0539
51902_202407,51902,202407,0.0623
51903_202407,51903,202407,0.1493
51904_202407,51904,202407,0.1282
53320_196110,53320,196110,0.0737
53520_196110,53520,196110,0.1096
53320_196504,53320,196504,0.0465
53520_196504,53520,196504,0.026
53620_196504,53620,196504,0.0909
53320_196906,53320,196906,0.1333
53520_196906,53520,196906,0.0397
53620_196906,53620,196906,0.3163
53320_197302,53320,197302,-0.0897
53520_197302,53520,197302,-0.0897
53620_197302,53620,197302,0.1166
53320_197706,53320,197706,0.0826
53520_197706,53520,197706,0.0826
53620_197706,53620,197706,0.1521
53320_198106,53320,198106,0.1032
53520_198106,53520,198106,0.0892
53620_198106,53620,198106,0.0846
53320_198202,53320,198202,0.1853
53520_198202,53520,198202,0.0235
53620_198202,53620,198202,0.2697
53220_198211,53220,198211,0.1053
53320_198211,53320,198211,0.0854
53520_198211,53520,198211,0.0423
53620_198211,53620,198211,0.063
53220_198702,53220,198702,0.0672
53320_198702,53320,198702,0.1094
53420_198702,53420,198702,0.1113
53520_198702,53520,198702,0.0462
53620_198702,53620,198702,0.144
53220_198906,53220,198906,0.1085
53320_198906,53320,198906,0.1181
53420_198906,53420,198906,0.0469
53520_198906,53520,198906,0.0954
53620_198906,53620,198906,0.1191
53110_199211,53110,199211,0.0393
53221_199211,53221,199211,0.121
53320_199211,53320,199211,0.0812
53420_199211,53420,199211,0.052
53520_199211,53520,199211,0.1625
53620_199211,53620,199211,0.1531
53110_199706,53110,199706,0.0045
53221_199706,53221,199706,0.1119
53320_199706,53320,199706,0.1237
53420_199706,53420,199706,0.1252
53520_199706,53520,199706,0.0686
53620_199706,53620,199706,0.139
53110_200205,53110,200205,0.0217
53320_200205,53320,200205,0.155
53420_200205,53420,200205,0.157
53520_200205,53520,200205,0.091
53620_200205,53620,200205,0.1387
53951_200205,53951,200205,0.0336
53110_200705,53110,200705,-0.0979
53320_200705,53320,200705,0.0965
53420_200705,53420,200705,0.1171
53520_200705,53520,200705,0.0998
53620_200705,53620,200705,0.1344
53951_200705,53951,200705,0.0822
53021_201102,53021,201102,0.1165
53110_201102,53110,201102,0.0223
53230_201102,53230,201102,0.1206
53320_201102,53320,201102,0.1179
53520_201102,53520,201102,0.1306
53620_201102,53620,201102,0.1723
53951_201102,53951,201102,0.0993
53110_201602,53110,201602,0.0333
53231_201602,53231,201602,0.1103
53240_201602,53240,201602,0.0636
53250_201602,53250,201602,0.0738
53320_201602,53320,201602,0.0984
53321_201602,53321,201602,0.1238
53520_201602,53520,201602,0.1247
53620_201602,53620,201602,0.1136
53951_201602,53951,201602,0.083
53981_201602,53981,201602,0.1155
53110_202002,53110,202002,0.1117
53231_202002,53231,202002,0.1231
53320_202002,53320,202002,0.1187
53321_202002,53321,202002,0.1234
53520_202002,53520,202002,0.1416
53620_202002,53620,202002,0.1145
53951_202002,53951,202002,0.0319
53952_202002,53952,202002,0.094
61320_196011,61320,196011,0.1377
61620_196011,61620,196011,0.1961
61320_196411,61320,196411,0.1926
61620_196411,61620,196411,0.1158
61320_196811,61320,196811,0.1224
61620_196811,61620,196811,0.128
61320_197211,61320,197211,0.1406
61620_197211,61620,197211,0.1604
61320_197611,61320,197611,0.1355
61620_197611,61620,197611,0.1406
61320_198011,61320,198011,0.1482
61620_198011,61620,198011,0.1239
61320_198411,61320,198411,0.1967
