manifesto_id,party,date,mean_score,n_sentences
31320_198106,31320,198106,0.1739,236
51320_196410,51320,196410,0.0998,399
51420_196410,51420,196410,0.209,216
51620_196410,51620,196410,0.2012,412
51320_196603,51320,196603,0.1447,513
51420_196603,51420,196603,0.0772,308
51620_196603,51620,196603,0.266,273
51320_197006,51320,197006,0.2044,524
51420_197006,51420,197006,0.1427,181
51620_197006,51620,197006,0.1686,540
51320_197402,51320,197402,0.1147,182
51420_197402,51420,197402,0.0551,353
51620_197402,51620,197402,0.1246,568
51320_197410,51320,197410,0.1594,364
51420_197410,51420,197410,0.0751,262
51620_197410,51620,197410,0.2127,663
51320_197905,51320,197905,0.1947,472
51420_197905,51420,197905,0.1408,335
51620_197905,51620,197905,0.1016,422
51320_198306,51320,198306,0.2121,1134
51330_198306,51330,198306,0.1481,509
51420_198306,51420,198306,0.1481,509
51620_198306,51620,198306,0.1928,610
51320_198706,51320,198706,0.2136,451
51330_198706,51330,198706,0.1217,673
51420_198706,51420,198706,0.1217,673
51620_198706,51620,198706,0.1679,913
51320_199204,51320,199204,0.2187,652
51421_199204,51421,199204,0.1665,871
51620_199204,51620,199204,0.1828,1582
51320_199705,51320,199705,0.1249,904
51421_199705,51421,199705,0.2453,824
51620_199705,51620,199705,0.2029,1160
51902_199705,51902,199705,0.1799,549
51320_200106,51320,200106,0.1984,1572
51421_200106,51421,200106,0.1388,1117
51620_200106,51620,200106,0.1028,680
51902_200106,51902,200106,0.1606,437
51951_200106,51951,200106,0.0915,614
51320_200505,51320,200505,0.2372,1098
51421_200505,51421,200505,0.0754,775
51620_200505,51620,200505,0.1377,408
51110_201505,51110,201505,0.1256,1849
51210_201505,51210,201505,0.1928,274
51320_201505,51320,201505,0.2165,857
51340_201505,51340,201505,0.2206,385
51421_201505,51421,201505,0.1907,1327
51620_201505,51620,201505,0.2099,1133
51621_201505,51621,201505,0.1363,271
51901_201505,51901,201505,0.1897,729
51902_201505,51902,201505,0.2037,673
51903_201505,51903,201505,0.2391,104
51951_201505,51951,201505,0.1101,1019
51110_201706,51110,201706,0.2777,142
51210_201706,51210,201706,-0.0874,124
51320_201706,51320,201706,0.1551,1072
51421_201706,51421,201706,0.1395,850
51620_201706,51620,201706,0.2064,1182
51901_201706,51901,201706,0.1512,289
51902_201706,51902,201706,0.1601,841
51903_201706,51903,201706,0.1478,273
51951_201706,51951,201706,0.1034,991
51110_201912,51110,201912,0.1807,976
51210_201912,51210,201912,0.0712,109
51320_201912,51320,201912,0.1428,1121
51340_201912,51340,201912,0.1327,362
51421_201912,51421,201912,0.1164,1049
51430_201912,51430,201912,0.0239,499
51620_201912,51620,201912,0.2181,887
51901_201912,51901,201912,0.0897,760
51902_201912,51902,201912,0.1132,784
51903_201912,51903,201912,0.1355,425
51110_202407,51110,202407,0.1556,881
51210_202407,51210,202407,0.3073,84
51320_202407,51320,202407,0.1807,1258
51340_202407,51340,202407,0.109,359
51421_202407,51421,202407,0.1382,990
51430_202407,51430,202407,0.0454,675
51620_202407,51620,202407,0.1753,1142
51621_202407,51621,202407,0.1647,380
51701_202407,51701,202407,0.196,372
51901_202407,51901,202407,0.1001,675
51902_202407,51902,202407,0.1357,328
51903_202407,51903,202407,0.0706,468
51904_202407,51904,202407,0.0901,344
53320_196110,53320,196110,0.1042,154
53520_196110,53520,196110,0.2487,113
53320_196504,53320,196504,0.1611,145
53520_196504,53520,196504,0.1666,417
53620_196504,53620,196504,0.1145,87
53320_196906,53320,196906,0.2035,436
53520_196906,53520,196906,0.1963,413
53620_196906,53620,196906,0.3819,25
53320_197302,53320,197302,0.1416,38
53520_197302,53520,197302,0.1416,38
53620_197302,53620,197302,0.1093,153
53320_197706,53320,197706,0.2192,277
53520_197706,53520,197706,0.2192,277
53620_197706,53620,197706,0.1816,310
53320_198106,53320,198106,0.2131,708
53520_198106,53520,198106,0.2612,652
53620_198106,53620,198106,0.2174,734
