manifesto_id,party,date,mean_score,std_score,n_sentences
31320_198106,31320,198106,0.9915,0.0917,236
51320_196410,51320,196410,1.0,0.0,399
51420_196410,51420,196410,0.9954,0.0679,216
51620_196410,51620,196410,0.9976,0.0492,412
51320_196603,51320,196603,0.9981,0.0441,513
51420_196603,51420,196603,0.9903,0.0982,308
51620_196603,51620,196603,1.0,0.0,273
51320_197006,51320,197006,0.9885,0.1064,524
51420_197006,51420,197006,0.9945,0.0741,181
51620_197006,51620,197006,0.9963,0.0607,540
51320_197402,51320,197402,0.989,0.1043,182
51420_197402,51420,197402,0.9802,0.1394,353
51620_197402,51620,197402,0.9982,0.0419,568
51320_197410,51320,197410,0.9918,0.0904,364
51420_197410,51420,197410,0.9847,0.1226,262
51620_197410,51620,197410,0.991,0.0947,663
51320_197905,51320,197905,0.9958,0.065,472
51420_197905,51420,197905,0.994,0.077,335
51620_197905,51620,197905,1.0,0.0,422
51320_198306,51320,198306,0.9938,0.0783,1134
51330_198306,51330,198306,0.9961,0.0626,509
51420_198306,51420,198306,0.9961,0.0626,509
51620_198306,51620,198306,0.9967,0.0572,610
51320_198706,51320,198706,1.0,0.0,451
51330_198706,51330,198706,0.9926,0.0859,673
51420_198706,51420,198706,0.9926,0.0859,673
51620_198706,51620,198706,0.9967,0.0572,913
51320_199204,51320,199204,0.9954,0.0677,652
51421_199204,51421,199204,0.9885,0.1065,871
51620_199204,51620,199204,0.9962,0.0615,1582
51320_199705,51320,199705,0.9945,0.0742,904
51421_199705,51421,199705,0.9951,0.0695,824
51620_199705,51620,199705,0.994,0.0774,1160
51902_199705,51902,199705,1.0,0.0,549
51320_200106,51320,200106,0.993,0.0834,1572
51421_200106,51421,200106,0.991,0.0942,1117
51620_200106,51620,200106,0.9941,0.0765,680
51902_200106,51902,200106,0.9954,0.0675,437
51951_200106,51951,200106,0.9951,0.0697,614
51320_200505,51320,200505,0.9927,0.085,1098
51421_200505,51421,200505,0.9923,0.0876,775
51620_200505,51620,200505,0.9877,0.11,408
51110_201505,51110,201505,0.9924,0.0867,1849
51210_201505,51210,201505,1.0,0.0,274
51320_201505,51320,201505,0.9918,0.09,857
51340_201505,51340,201505,1.0,0.0,385
51421_201505,51421,201505,0.9962,0.0613,1327
51620_201505,51620,201505,0.9982,0.042,1133
51621_201505,51621,201505,0.9963,0.0606,271
51901_201505,51901,201505,0.9959,0.064,729
51902_201505,51902,201505,1.0,0.0,673
51903_201505,51903,201505,1.0,0.0,104
51951_201505,51951,201505,0.9941,0.0765,1019
51110_201706,51110,201706,0.993,0.0836,142
51210_201706,51210,201706,1.0,0.0,124
51320_201706,51320,201706,0.9963,0.061,1072
51421_201706,51421,201706,0.9965,0.0593,850
51620_201706,51620,201706,0.9975,0.0503,1182
51901_201706,51901,201706,0.9931,0.0829,289
51902_201706,51902,201706,0.9952,0.0688,841
51903_201706,51903,201706,1.0,0.0,273
51951_201706,51951,201706,0.9909,0.0949,991
51110_201912,51110,201912,0.9939,0.0782,976
51210_201912,51210,201912,1.0,0.0,109
51320_201912,51320,201912,0.9929,0.0842,1121
51340_201912,51340,201912,1.0,0.0,362
51421_201912,51421,201912,0.9943,0.0754,1049
51430_201912,51430,201912,0.998,0.0447,499
51620_201912,51620,201912,0.9977,0.0474,887
51901_201912,51901,201912,0.9961,0.0627,760
51902_201912,51902,201912,0.9936,0.0796,784
51903_201912,51903,201912,0.9929,0.0837,425
51110_202407,51110,202407,0.9955,0.0672,881
51210_202407,51210,202407,1.0,0.0,84
51320_202407,51320,202407,0.9984,0.0398,1258
51340_202407,51340,202407,0.9889,0.105,359
51421_202407,51421,202407,0.9929,0.0838,990
51430_202407,51430,202407,0.9985,0.0385,675
51620_202407,51620,202407,0.9947,0.0723,1142
51621_202407,51621,202407,0.9974,0.0512,380
51701_202407,51701,202407,0.9892,0.1031,372
51901_202407,51901,202407,0.9985,0.0385,675
51902_202407,51902,202407,0.9878,0.1098,328
51903_202407,51903,202407,0.9957,0.0652,468
51904_202407,51904,202407,1.0,0.0,344
53320_196110,53320,196110,1.0,0.0,154
53520_196110,53520,196110,0.9912,0.0937,113
53320_196504,53320,196504,0.9931,0.0828,145
53520_196504,53520,196504,0.9904,0.0975,417
53620_196504,53620,196504,0.9885,0.1066,87
53320_196906,53320,196906,0.9931,0.1069,436
53520_196906,53520,196906,0.9903,0.0979,413
53620_196906,53620,196906,1.0,0.0,25
53320_197302,53320,197302,1.0,0.0,38
53520_197302,53520,197302,1.0,0.0,38
53620_197302,53620,197302,1.0,0.0,153
53320_197706,53320,197706,0.9928,0.0847,277
53520_197706,53520,197706,0.9928,0.0847,277
53620_197706,53620,197706,0.9935,0.0801,310
53320_198106,53320,198106,0.9788,0.144,708
53520_198106,53520,198106,0.9923,0.0872,652
53620_198106,53620,198106,0.9864,0.1159,734
53320_198202,53320,198202,1.0,0.0,24
53520_198202,53520,198202,0.9845,0.1235,129
53620_198202,53620,198202,1.0,0.0,12
53220_198211,53220,198211,0.9853,0.1202,341
53320_198211,53320,198211,0.9891,0.1037,92
53520_198211,53520,198211,1.0,0.0,159
53620_198211,53620,198211,0.9904,0.0975,1458
53220_198702,53220,198702,0.9884,0.1072,602
53320_198702,53320,198702,0.9966,0.0578,298
53420_198702,53420,198702,0.9958,0.065,236
53520_198702,53520,198702,0.9916,0.0911,598
53620_198702,53620,198702,0.989,0.1043,637
53220_198906,53220,198906,0.9892,0.1031,651
53320_198906,53320,198906,0.994,0.0774,166
53420_198906,53420,198906,0.9956,0.0664,226
53520_198906,53520,198906,0.9915,0.1042,824
53620_198906,53620,198906,0.9869,0.1136,1148
53110_199211,53110,199211,1.0,0.0,190
53221_199211,53221,199211,0.9964,0.0599,278
53320_199211,53320,199211,0.9883,0.1078,766
53420_199211,53420,199211,1.0,0.0,160
53520_199211,53520,199211,0.9841,0.125,189
53620_199211,53620,199211,0.9887,0.1057,177
53110_199706,53110,199706,0.9888,0.1052,447
53221_199706,53221,199706,0.9733,0.1611,150
53320_199706,53320,199706,0.9914,0.0922,1515
53420_199706,53420,199706,0.9921,0.0887,631
53520_199706,53520,199706,0.982,0.1328,1002
53620_199706,53620,199706,0.9942,0.0821,2068
53110_200205,53110,200205,1.0,0.0,533
53320_200205,53320,200205,0.9934,0.0808,1218
53420_200205,53420,200205,0.9922,0.095,1540
