manifesto_id,party,date,mean_score,std_score,n_sentences
31320_198106,31320,198106,0.1907,0.8397,236
51320_196410,51320,196410,0.0827,0.8381,399
51420_196410,51420,196410,0.1991,0.8177,216
51620_196410,51620,196410,0.1286,0.8363,412
51320_196603,51320,196603,0.117,0.8295,513
51420_196603,51420,196603,0.1266,0.8491,308
51620_196603,51620,196603,0.1795,0.8303,273
51320_197006,51320,197006,0.1527,0.8513,524
51420_197006,51420,197006,-0.105,0.7902,181
51620_197006,51620,197006,0.1185,0.8697,540
51320_197402,51320,197402,0.0659,0.8619,182
51420_197402,51420,197402,0.0198,0.8157,353
51620_197402,51620,197402,0.088,0.8595,568
51320_197410,51320,197410,0.1154,0.8694,364
51420_197410,51420,197410,-0.1183,0.8134,262
51620_197410,51620,197410,0.086,0.8545,663
51320_197905,51320,197905,0.1547,0.8558,472
51420_197905,51420,197905,0.0537,0.8517,335
51620_197905,51620,197905,0.1398,0.8554,422
51320_198306,51320,198306,0.2681,0.8189,1134
51330_198306,51330,198306,0.1847,0.8556,509
51420_198306,51420,198306,0.1847,0.8556,509
51620_198306,51620,198306,0.1131,0.86,610
51320_198706,51320,198706,0.3104,0.819,451
51330_198706,51330,198706,0.1575,0.8171,673
51420_198706,51420,198706,0.1575,0.8171,673
51620_198706,51620,198706,0.1676,0.8263,913
51320_199204,51320,199204,0.2515,0.7995,652
51421_199204,51421,199204,0.2216,0.812,871
51620_199204,51620,199204,0.2219,0.8228,1582
51320_199705,51320,199705,0.2179,0.8322,904
51421_199705,51421,199705,0.2791,0.7819,824
51620_199705,51620,199705,0.1802,0.8384,1160
51902_199705,51902,199705,0.2259,0.8209,549
51320_200106,51320,200106,0.2767,0.7768,1572
51421_200106,51421,200106,0.1844,0.8106,1117
51620_200106,51620,200106,0.1029,0.8513,680
51902_200106,51902,200106,0.2449,0.7959,437
51951_200106,51951,200106,0.285,0.8163,614
51320_200505,51320,200505,0.2705,0.7733,1098
51421_200505,51421,200505,0.2013,0.8164,775
51620_200505,51620,200505,0.201,0.8277,408
51110_201505,51110,201505,0.1758,0.8372,1849
51210_201505,51210,201505,0.0182,0.8605,274
51320_201505,51320,201505,0.2439,0.8255,857
51340_201505,51340,201505,0.2909,0.8396,385
51421_201505,51421,201505,0.3203,0.7922,1327
51620_201505,51620,201505,0.2957,0.8005,1133
51621_201505,51621,201505,0.1365,0.846,271
51901_201505,51901,201505,0.2593,0.8198,729
51902_201505,51902,201505,0.3299,0.7659,673
51903_201505,51903,201505,0.3462,0.8523,104
51951_201505,51951,201505,0.1727,0.8046,1019
51110_201706,51110,201706,0.3451,0.8396,142
51210_201706,51210,201706,0.0887,0.8521,124
51320_201706,51320,201706,0.292,0.8113,1072
51421_201706,51421,201706,0.3318,0.787,850
51620_201706,51620,201706,0.3646,0.7954,1182
51901_201706,51901,201706,0.2318,0.8432,289
51902_201706,51902,201706,0.3056,0.812,841
51903_201706,51903,201706,0.4103,0.803,273
51951_201706,51951,201706,0.1948,0.7931,991
51110_201912,51110,201912,0.2387,0.8182,976
51210_201912,51210,201912,-0.0917,0.8731,109
51320_201912,51320,201912,0.2756,0.8113,1121
51340_201912,51340,201912,0.268,0.8227,362
51421_201912,51421,201912,0.3079,0.782,1049
51430_201912,51430,201912,0.4068,0.7759,499
51620_201912,51620,201912,0.3371,0.7919,887
51901_201912,51901,201912,0.2,0.8221,760
51902_201912,51902,201912,0.2997,0.8226,784
51903_201912,51903,201912,0.2988,0.8103,425
51110_202407,51110,202407,0.2054,0.8388,881
51210_202407,51210,202407,0.2619,0.7734,84
51320_202407,51320,202407,0.1963,0.8591,1258
51340_202407,51340,202407,0.2646,0.8508,359
51421_202407,51421,202407,0.3182,0.7803,990
51430_202407,51430,202407,0.3363,0.7932,675
51620_202407,51620,202407,0.3074,0.7913,1142
51621_202407,51621,202407,0.35,0.8405,380
51701_202407,51701,202407,0.2231,0.8074,372
51901_202407,51901,202407,0.1807,0.8219,675
51902_202407,51902,202407,0.1585,0.8691,328
51903_202407,51903,202407,0.3889,0.7861,468
51904_202407,51904,202407,0.1483,0.8784,344
53320_196110,53320,196110,0.1494,0.8041,154
53520_196110,53520,196110,0.0796,0.7659,113
53320_196504,53320,196504,0.069,0.8192,145
53520_196504,53520,196504,-0.1271,0.7559,417
53620_196504,53620,196504,0.092,0.8661,87
53320_196906,53320,196906,-0.0963,0.8699,436
53520_196906,53520,196906,-0.0581,0.7944,413
53620_196906,53620,196906,0.52,0.7547,25
53320_197302,53320,197302,-0.1842,0.8539,38
53520_197302,53520,197302,-0.1842,0.8539,38
53620_197302,53620,197302,-0.0915,0.8273,153
53320_197706,53320,197706,0.1336,0.8062,277
53520_197706,53520,197706,0.1336,0.8062,277
53620_197706,53620,197706,0.1194,0.7841,310
53320_198106,53320,198106,-0.0297,0.8186,708
53520_198106,53520,198106,0.0092,0.8139,652
53620_198106,53620,198106,0.1512,0.762,734
53320_198202,53320,198202,0.125,0.8323,24
53520_198202,53520,198202,0.0,0.8536,129
53620_198202,53620,198202,0.4167,0.7592,12
53220_198211,53220,198211,0.1056,0.8072,341
53320_198211,53320,198211,0.163,0.8246,92
53520_198211,53520,198211,0.0,0.8088,159
53620_198211,53620,198211,0.0706,0.8314,1458
53220_198702,53220,198702,0.1811,0.8225,602
53320_198702,53320,198702,0.0772,0.8577,298
53420_198702,53420,198702,0.0763,0.7989,236
53520_198702,53520,198702,0.0201,0.8318,598
53620_198702,53620,198702,0.2276,0.833,637
53220_198906,53220,198906,0.2135,0.84,651
53320_198906,53320,198906,0.2108,0.863,166
53420_198906,53420,198906,0.0354,0.8193,226
53520_198906,53520,198906,0.0983,0.8237,824
53620_198906,53620,198906,0.1455,0.8033,1148
53110_199211,53110,199211,-0.0105,0.8522,190
53221_199211,53221,199211,0.1942,0.8169,278
53320_199211,53320,199211,0.0287,0.8202,766
53420_199211,53420,199211,0.0625,0.8115,160
53520_199211,53520,199211,0.2434,0.8445,189
53620_199211,53620,199211,0.2599,0.8304,177
53110_199706,53110,199706,0.0559,0.8429,447
53221_199706,53221,199706,0.0867,0.7911,150
53320_199706,53320,199706,0.1617,0.8354,1515
53420_199706,53420,199706,0.1807,0.8133,631
53520_199706,53520,199706,0.1437,0.8087,1002
53620_199706,53620,199706,0.1489,0.8275,2068
