manifesto_id,party,date,mean_score,n_sentences
31320_198106,31320,198106,0.3941,236
51320_196410,51320,196410,0.1754,399
51420_196410,51420,196410,0.3472,216
51620_196410,51620,196410,0.4976,412
51320_196603,51320,196603,0.2398,513
51420_196603,51420,196603,0.3571,308
51620_196603,51620,196603,0.4469,273
51320_197006,51320,197006,0.3321,524
51420_197006,51420,197006,0.3646,181
51620_197006,51620,197006,0.3537,540
51320_197402,51320,197402,0.2802,182
51420_197402,51420,197402,0.2663,353
51620_197402,51620,197402,0.3838,568
51320_197410,51320,197410,0.3571,364
51420_197410,51420,197410,0.2443,262
51620_197410,51620,197410,0.3122,663
51320_197905,51320,197905,0.4025,472
51420_197905,51420,197905,0.3642,335
51620_197905,51620,197905,0.2393,422
51320_198306,51320,198306,0.3201,1134
51330_198306,51330,198306,0.2908,509
51420_198306,51420,198306,0.2908,509
51620_198306,51620,198306,0.3885,610
51320_198706,51320,198706,0.4013,451
51330_198706,51330,198706,0.3715,673
51420_198706,51420,198706,0.3715,673
51620_198706,51620,198706,0.3866,913
51320_199204,51320,199204,0.4463,652
51421_199204,51421,199204,0.4478,871
51620_199204,51620,199204,0.4166,1582
51320_199705,51320,199705,0.3341,904
51421_199705,51421,199705,0.449,824
51620_199705,51620,199705,0.356,1160
51902_199705,51902,199705,0.5228,549
51320_200106,51320,200106,0.3823,1572
51421_200106,51421,200106,0.3706,1117
51620_200106,51620,200106,0.2176,680
51902_200106,51902,200106,0.4348,437
51951_200106,51951,200106,0.3371,614
51320_200505,51320,200505,0.4244,1098
51421_200505,51421,200505,0.2452,775
51620_200505,51620,200505,0.3284,408
51110_201505,51110,201505,0.331,1849
51210_201505,51210,201505,0.3321,274
51320_201505,51320,201505,0.3466,857
51340_201505,51340,201505,0.4156,385
51421_201505,51421,201505,0.5411,1327
51620_201505,51620,201505,0.4457,1133
51621_201505,51621,201505,0.3911,271
51901_201505,51901,201505,0.5638,729
51902_201505,51902,201505,0.5914,673
51903_201505,51903,201505,0.6442,104
51951_201505,51951,201505,0.1649,1019
51110_201706,51110,201706,0.5,142
51210_201706,51210,201706,0.4194,124
51320_201706,51320,201706,0.2808,1072
51421_201706,51421,201706,0.4482,850
51620_201706,51620,201706,0.5423,1182
51901_201706,51901,201706,0.2284,289
51902_201706,51902,201706,0.3365,841
51903_201706,51903,201706,0.5421,273
51951_201706,51951,201706,0.1887,991
51110_201912,51110,201912,0.4088,976
51210_201912,51210,201912,0.3303,109
51320_201912,51320,201912,0.2043,1121
51340_201912,51340,201912,0.3453,362
51421_201912,51421,201912,0.3851,1049
51430_201912,51430,201912,0.481,499
51620_201912,51620,201912,0.4983,887
51901_201912,51901,201912,0.2316,760
51902_201912,51902,201912,0.2832,784
51903_201912,51903,201912,0.5176,425
51110_202407,51110,202407,0.3678,881
51210_202407,51210,202407,0.5952,84
51320_202407,51320,202407,0.2742,1258
51340_202407,51340,202407,0.3565,359
51421_202407,51421,202407,0.3313,990
51430_202407,51430,202407,0.3793,675
51620_202407,51620,202407,0.458,1142
51621_202407,51621,202407,0.5553,380
51701_202407,51701,202407,0.1425,372
51901_202407,51901,202407,0.4207,675
51902_202407,51902,202407,0.314,328
51903_202407,51903,202407,0.5064,468
51904_202407,51904,202407,0.0988,344
53320_196110,53320,196110,0.3701,154
53520_196110,53520,196110,0.5929,113
53320_196504,53320,196504,0.331,145
53520_196504,53520,196504,0.4868,417
53620_196504,53620,196504,0.4483,87
53320_196906,53320,196906,0.0573,436
53520_196906,53520,196906,0.4504,413
53620_196906,53620,196906,0.48,25
53320_197302,53320,197302,0.0,38
53520_197302,53520,197302,0.0,38
53620_197302,53620,197302,0.1765,153
53320_197706,53320,197706,0.3755,277
53520_197706,53520,197706,0.3755,277
53620_197706,53620,197706,0.2,310
53320_198106,53320,198106,0.2641,708
53520_198106,53520,198106,0.319,652
53620_198106,53620,198106,0.4877,734
53320_198202,53320,198202,0.25,24
53520_198202,53520,198202,0.3023,129
53620_198202,53620,198202,0.25,12
53220_198211,53220,198211,0.2727,341
53320_198211,53320,198211,0.2826,92
53520_198211,53520,198211,0.2264,159
53620_198211,53620,198211,0.3717,1458
53220_198702,53220,198702,0.2375,602
53320_198702,53320,198702,0.3557,298
53420_198702,53420,198702,0.2839,236
53520_198702,53520,198702,0.388,598
53620_198702,53620,198702,0.4788,637
53220_198906,53220,198906,0.2642,651
53320_198906,53320,198906,0.2831,166
53420_198906,53420,198906,0.1593,226
53520_198906,53520,198906,0.3653,824
53620_198906,53620,198906,0.3301,1148
53110_199211,53110,199211,0.2895,190
53221_199211,53221,199211,0.3597,278
53320_199211,53320,199211,0.2637,766
53420_199211,53420,199211,0.1625,160
53520_199211,53520,199211,0.4709,189
53620_199211,53620,199211,0.2825,177
53110_199706,53110,199706,0.3378,447
53221_199706,53221,199706,0.28,150
53320_199706,53320,199706,0.3373,1515
53420_199706,53420,199706,0.2678,631
53520_199706,53520,199706,0.4112,1002
53620_199706,53620,199706,0.2853,2068
53110_200205,53110,200205,0.3865,533
53320_200205,53320,200205,0.2816,1218
53420_200205,53420,200205,0.4506,1540
53520_200205,53520,200205,0.358,419
53620_200205,53620,200205,0.493,1505
53951_200205,53951,200205,0.2702,951
53110_200705,53110,200705,0.519,343
53320_200705,53320,200705,0.4106,2048
53420_200705,53420,200705,0.4954,1304
53520_200705,53520,200705,0.5539,1401
53620_200705,53620,200705,0.5345,1867
53951_200705,53951,200705,0.3154,1135
53021_201102,53021,201102,0.1071,84
53110_201102,53110,201102,0.5069,509
53230_201102,53230,201102,0.1429,49
53320_201102,53320,201102,0.4452,1242
53520_201102,53520,201102,0.4543,1367
53620_201102,53620,201102,0.4938,565
53951_201102,53951,201102,0.2269,542
53110_201602,53110,201602,0.4264,462
53231_201602,53231,201602,0.2706,388
53240_201602,53240,201602,-0.0942,223
53250_201602,53250,201602,0.0748,107
53320_201602,53320,201602,0.4832,1430
53321_201602,53321,201602,0.4525,610
53520_201602,53520,201602,0.6595,2103
53620_201602,53620,201602,0.3904,1742
53951_201602,53951,201602,0.2447,1132
53981_201602,53981,201602,0.0822,73
53110_202002,53110,202002,0.4866,1044
53231_202002,53231,202002,0.2389,586
53320_202002,53320,202002,0.4159,779
53321_202002,53321,202002,0.3732,1353
53520_202002,53520,202002,0.5485,2022
53620_202002,53620,202002,0.4253,1935
53951_202002,53951,202002,0.3223,1626
53952_202002,53952,202002,0.2164,1137
61320_196011,61320,196011,0.3629,755
61620_196011,61620,196011,0.5815,454
61320_196411,61320,196411,0.5175,228
61620_196411,61620,196411,0.2847,295
61320_196811,61320,196811,0.426,662
61620_196811,61620,196811,0.3491,444
61320_197211,61320,197211,0.2434,1105
61620_197211,61620,197211,0.351,1097
61320_197611,61320,197611,0.3954,832
61620_197611,61620,197611,0.4657,934
61320_198011,61320,198011,0.4898,1617
61620_198011,61620,198011,0.2886,1417
61320_198411,61320,198411,0.3031,1861
61620_198411,61620,198411,0.3921,1418
61320_198811,61320,198811,0.4638,69
61620_198811,61620,198811,0.4166,1817
61320_199211,61320,199211,0.2691,353
61620_199211,61620,199211,0.344,1532
61320_199611,61320,199611,0.2926,745
61620_199611,61620,199611,0.3041,1233
61320_200011,61320,200011,0.3225,1110
61620_200011,61620,200011,0.3443,1647
61320_200411,61320,200411,0.3604,910
61620_200411,61620,200411,0.4215,1751
61320_200811,61320,200811,0.3931,1094
61620_200811,61620,200811,0.3707,998
61320_201211,61320,201211,0.4796,980
61620_201211,61620,201211,0.3379,1234
61320_201611,61320,201611,0.3646,1045
61620_201611,61620,201611,0.2762,1553
61320_202011,61320,202011,0.3601,1522
61620_202011,61620,202011,0.2762,1553
61320_202411,61320,202411,0.3381,1745
61620_202411,61620,202411,0.4097,227
62320_196206,62320,196206,0.5169,472
62420_196206,62420,196206,0.4368,348
62620_196206,62620,196206,0.3443,61
62951_196206,62951,196206,0.6429,112
62320_196304,62320,196304,0.1333,15
62420_196304,62420,196304,0.4352,324
62620_196304,62620,196304,0.4923,65
62951_196304,62951,196304,0.5,54
62320_196511,62320,196511,0.3478,23
62420_196511,62420,196511,0.3947,342
62620_196511,62620,196511,0.4808,104
62951_196511,62951,196511,0.7536,69
62320_196806,62320,196806,0.3224,183
62420_196806,62420,196806,0.6091,307
62620_196806,62620,196806,0.3412,337
62951_196806,62951,196806,0.6986,73
62320_197210,62320,197210,0.2429,177
62620_197210,62620,197210,0.2714,70
62420_197407,62420,197407,0.5667,90
62620_197407,62620,197407,-0.0192,52
62420_198002,62420,198002,0.5,114
62620_198002,62620,198002,0.4889,45
62320_198409,62320,198409,0.3867,256
62420_198409,62420,198409,0.5252,318
62320_198811,62320,198811,0.2839,539
62420_199310,62420,199310,0.3778,90
62320_199706,62320,199706,0.2467,604
62420_199706,62420,199706,0.5387,1990
62620_199706,62620,199706,0.3575,856
62621_199706,62621,199706,0.7105,38
62901_199706,62901,199706,0.181,337
62320_200011,62320,200011,0.416,387
62420_200011,62420,200011,0.5136,551
62620_200011,62620,200011,0.378,672
62622_200011,62622,200011,0.3953,425
62320_200406,62320,200406,0.4317,586
