"party","parfam","partyname"
11220,20,"Communist Party of Sweden"
11320,30,"Social Democratic Labour Party"
11420,40,"People’s Party"
11620,60,"Right Party"
11810,80,"Agrarian Party"
11810,80,"Centre Party"
11220,20,"Left Communists Party"
11620,60,"Moderate Coalition Party"
11520,50,"Christian Democratic Coalition"
11110,10,"Green Ecology Party"
11220,20,"Left Party"
11420,40,"Liberal People’s Party"
11520,50,"Christian Democratic Community Party"
11951,95,"New Democracy"
11520,50,"Christian Democrats"
11710,70,"Sweden Democrats"
11420,40,"Liberals"
12220,20,"Norwegian Communist Party"
12320,30,"Norwegian Labour Party"
12420,40,"Liberal Party"
12520,50,"Christian People’s Party"
12620,60,"Conservative Party"
12810,80,"Farmers’ Party"
12221,20,"Socialist People’s Party"
12810,80,"Centre Party"
12410,40,"New People’s Party"
12951,70,"Anders Lange’s Party"
12221,20,"Socialist Left Party"
12951,70,"Progress Party"
12110,10,"Green Party"
12320,30,"Labour Party"
12230,20,"Red Party"
13220,20,"Danish Communist Party"
13320,30,"Social Democratic Party"
13410,40,"Danish Social-Liberal Party"
13420,40,"Liberals"
13620,60,"Conservative People’s Party"
13952,95,"Justice Party"
13953,95,"Danish Union"
13421,40,"Independents’ Party"
13230,20,"Socialist People’s Party"
13422,40,"Liberal Centre"
13210,20,"Left Socialist Party"
13520,50,"Christian People’s Party"
13330,60,"Centre Democrats"
13951,70,"Progress Party"
13221,20,"Common Course"
13229,20,"Red-Green Unity List"
13720,70,"Danish People’s Party"
13520,50,"Christian Democrats"
13001,40,"New Alliance"
13001,40,"Liberal Alliance"
13110,20,"Alternativ"
13730,70,"The New Right"
14221,20,"Finnish People’s Democratic Union"
14320,30,"Finnish Social Democrats"
14420,40,"National Progressive Party"
14620,60,"National Coalition"
14810,80,"Agrarian Union"
14901,90,"Swedish People’s Party"
14420,40,"Finnish People’s Party"
14310,30,"Social Democratic League of Workers and Smallholders"
14420,40,"Liberal People’s Party"
14810,80,"Centre Party"
14820,70,"Finnish Smallholders’ Party"
14520,50,"Finnish Christian Union"
14820,70,"Finnish Rural Party"
14110,10,"Green Union"
14222,20,"Democratic Alternative"
14223,20,"Left Wing Alliance"
14810,80,"Finnish Centre"
14430,40,"Young Finnish Party"
14820,70,"True Finns"
14520,50,"Christian Democrats in Finland"
14440,40,"Movement Now"
15220,20,"United Socialist Party"
15320,30,"Social Democratic Party"
15620,60,"Independence Party"
15810,80,"Progressive Party"
15710,70,"National Preservation Party"
15220,20,"People’s Alliance"
15322,30,"Union of Liberals and Leftists"
15321,30,"Social Democratic Federation"
15951,95,"Women’s Alliance"
15621,60,"Citizens’ Party"
15323,30,"Awakening of the Nation"
15111,10,"Left Green Movement"
15328,30,"The Alliance"
15420,40,"Liberal Party"
15430,95,"Citizens' Movement"
15328,30,"The Alliance - Social Democratic Party of Iceland"
15440,40,"Bright Future"
15952,95,"Pirate Party"
15450,40,"Reform Party"
15630,60,"Centre Party"
15953,95,"People’s Party"
21320,30,"Belgian Socialist Party"
21420,40,"Liberal Party"
21520,50,"Francophone Christian Social Party and Flemish Christian People’s Party"
21913,90,"Flemish Christian Peoples’ Union"
21913,90,"Peoples’ Union"
21420,40,"Party of Liberty and Progress"
21912,90,"Francophone Democratic Front of Francophones of Brussels"
21521,50,"Christian People’s Party"
21522,50,"Christian Social Party"
21911,90,"Walloon Rally"
21421,40,"Party of Liberty and Progress"
21422,40,"Party of Liberty and Progress"
21424,40,"Brussels Liberal Party"
21424,40,"Liberal Democratic and Pluralist Party"
21422,40,"Party of Walloon Reform and Liberty"
21424,40,"Liberal Party"
21321,30,"Flemish Socialist Party"
21322,30,"Francophone Socialist Party"
21914,70,"Flemish Bloc"
21111,10,"Ecologists"
21112,10,"Live Differently"
21422,40,"Liberal Reformation Party"
21912,90,"Francophone Democratic Front of Francophones"
21421,40,"Flemish Liberals and Democrats"
21423,40,"Liberal Reformation Party - Francophone Democratic Front"
21425,40,"Liberal Reformation Party - Francophone Democratic Front - Citizens’ Movement for Change"
21521,50,"Christian Democratic and Flemish"
21915,90,"People’s Union - Complete Democracy for the 21st century"
21221,30,"Socialist Party Different - Spirit"
21426,40,"Reform Movement"
21522,50,"Humanist Democratic Centre"
21916,90,"New Flemish Alliance"
21112,10,"Green!"
21321,30,"Socialist Party Different"
21330,30,"Social, Progressive, International, Regionalist, Integrally Democartic  and Forward-Looking"
21421,40,"Open Flemish Liberals and Democrats"
21430,40,"List Dedecker"
21917,70,"Flemish Interest"
21230,20,"Workers' Party of Belgium"
21710,70,"People's Party"
21912,90,"Democratic, Federalist,  Independent"
22210,20,"Communist Party of the Netherlands"
22320,30,"Labour Party"
22420,40,"Freedom Party"
22522,50,"Catholic People’s Party"
22523,50,"Anti-Revolutionary Party"
22525,50,"Christian Historical Union"
22952,95,"Reformed Political Party"
22420,40,"People’s Party for Freedom and Democracy"
22330,40,"Democrats‘66"
22310,30,"Radical Political Party"
22524,50,"Democratic Socialists‘70"
22521,50,"Christian Democratic Appeal"
22528,50,"Reformatory Political Federation"
22527,50,"Reformed Political League"
22710,70,"Centre Party"
22230,20,"Pacifist Socialist Party"
22110,10,"Green Left"
22711,70,"Centre Democrats"
22220,20,"Socialist Party"
22954,95,"General Elderly Alliance"
22955,95,"Union 55+"
22430,40,"Livable Netherlands"
22526,50,"Christian Union"
22720,70,"List Pim Fortuyn"
22722,70,"Party of Freedom"
